               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.036883,            0.038322,           0.0094254,             0.86462,             0.77795,             0.83778,             0.43104,            0.038943,            0.034326,            0.018148,            0.003862,            0.003862,            0.003862
                  64,            0.036638,            0.038309,           0.0090066,             0.87962,             0.78279,             0.84127,             0.42189,            0.039307,            0.035648,             0.01865,            0.003763,            0.003763,            0.003763
                  65,            0.036749,            0.038255,           0.0091509,             0.89378,             0.79495,             0.85869,             0.46307,            0.037789,            0.032664,            0.016934,            0.003664,            0.003664,            0.003664
                  66,            0.036602,            0.037362,           0.0090845,              0.9094,              0.8005,             0.85954,             0.46077,            0.038169,            0.033658,            0.017175,            0.003565,            0.003565,            0.003565
                  67,             0.03595,            0.037475,           0.0085185,             0.85905,             0.75124,             0.82052,             0.40161,            0.040395,            0.037048,            0.017585,            0.003466,            0.003466,            0.003466
                  68,            0.035804,            0.036687,           0.0087333,             0.84218,             0.74151,             0.80754,             0.38107,            0.040876,            0.037556,             0.01901,            0.003367,            0.003367,            0.003367
                  69,            0.035711,            0.037058,           0.0088269,             0.89351,             0.79837,             0.86208,             0.45548,            0.038337,            0.033363,            0.017179,            0.003268,            0.003268,            0.003268
                  70,            0.035308,            0.036746,           0.0084085,             0.91848,             0.78894,             0.86324,             0.47564,            0.036991,             0.03238,            0.015952,            0.003169,            0.003169,            0.003169
                  71,             0.03505,            0.036779,           0.0081747,             0.86474,             0.79023,             0.84825,             0.42705,            0.039312,            0.035511,            0.017075,             0.00307,             0.00307,             0.00307
                  72,            0.034722,            0.036412,           0.0081004,             0.83265,             0.76299,             0.81689,             0.36746,            0.041792,            0.040159,            0.017089,            0.002971,            0.002971,            0.002971
                  73,            0.034752,            0.036308,           0.0083147,             0.90951,             0.79376,              0.8639,              0.4653,            0.037288,            0.032864,            0.016473,            0.002872,            0.002872,            0.002872
                  74,            0.034741,            0.035797,            0.008411,             0.89101,             0.77684,             0.84439,             0.41992,            0.039722,            0.036443,            0.016084,            0.002773,            0.002773,            0.002773
                  75,             0.03467,            0.036544,           0.0079509,             0.86843,             0.78763,             0.85261,              0.4218,            0.039227,            0.036331,            0.016943,            0.002674,            0.002674,            0.002674
                  76,             0.03418,            0.035376,           0.0079845,             0.87147,              0.7968,             0.85218,             0.42913,            0.039352,            0.036687,            0.017681,            0.002575,            0.002575,            0.002575
                  77,            0.033757,            0.035432,           0.0078429,              0.9066,             0.78465,             0.86317,              0.4492,             0.03846,             0.03473,            0.015674,            0.002476,            0.002476,            0.002476
                  78,             0.03367,            0.035807,           0.0077609,             0.87328,             0.79659,             0.84778,             0.43802,            0.038979,            0.035359,             0.01704,            0.002377,            0.002377,            0.002377
                  79,            0.033659,            0.034712,           0.0079864,             0.87371,             0.78565,             0.84317,             0.43742,            0.038818,            0.036339,            0.017088,            0.002278,            0.002278,            0.002278
                  80,            0.033201,            0.035278,           0.0074225,             0.90164,             0.78578,              0.8573,               0.443,            0.039027,            0.036251,            0.016108,            0.002179,            0.002179,            0.002179
                  81,            0.033358,            0.034433,           0.0077619,             0.90115,              0.8305,             0.87991,             0.48142,            0.037221,            0.033105,            0.015274,             0.00208,             0.00208,             0.00208
                  82,            0.033184,            0.035809,           0.0071163,             0.85927,             0.79918,              0.8551,             0.44184,            0.038913,            0.036343,             0.01721,            0.001981,            0.001981,            0.001981
                  83,            0.032862,            0.033806,           0.0075472,             0.88216,             0.77175,              0.8469,             0.44005,            0.039091,            0.037062,            0.015685,            0.001882,            0.001882,            0.001882
                  84,            0.032412,            0.035357,           0.0072424,             0.90155,             0.78056,             0.85749,             0.45891,            0.038191,            0.035217,            0.016651,            0.001783,            0.001783,            0.001783
                  85,            0.032594,            0.034919,           0.0074871,             0.90665,             0.79353,              0.8626,             0.46528,            0.038237,            0.034486,            0.015837,            0.001684,            0.001684,            0.001684
                  86,            0.032112,            0.034286,           0.0071149,             0.88312,             0.79928,             0.85174,              0.4478,            0.038865,            0.036121,            0.016274,            0.001585,            0.001585,            0.001585
                  87,            0.031408,            0.033665,           0.0066531,             0.89723,             0.79265,              0.8605,             0.45666,            0.038421,            0.035401,            0.016887,            0.001486,            0.001486,            0.001486
                  88,            0.031733,            0.034043,           0.0068769,             0.90634,             0.81274,             0.87357,             0.46879,            0.037905,            0.034768,            0.015746,            0.001387,            0.001387,            0.001387
